timestamp,query,response,sources
2025-11-26T00:12:43.985Z,"Using the call start service API, where do I provide my API key for LLM calls?","Based on the documentation, when using the **call start service API**, you provide your API key for LLM calls through **HTTP Basic Authentication**. 

Set the `Authorization` header to `Basic` followed by the base64-encoded string `api:YOUR_API_KEY`. For example:

```bash
Authorization: Basic <base64(api:YOUR_API_KEY)>
```

Or using curl:
```bash
curl -u ""api:YOUR_API_KEY"" https://trace.wandb.ai/call/start
```

The username is literally `""api""` and your W&B API key is the password.

Want to know more? These pages may help:
```suggestions
(Use the Service API to Log and Query Traces)[/weave/cookbooks/weave_via_service_api]
(Service API overview)[/weave/reference/service-api]
(Call Start endpoint)[/weave/reference/service-api/calls/call-start]
```","[{""title"":""Dagster"",""url"":""models/integrations/dagster""},{""title"":""Kubeflow Pipelines (kfp)"",""url"":""models/integrations/kubeflow-pipelines-kfp""},{""title"":""Api"",""url"":""models/ref/python/public-api/api""},{""title"":""Manage users, groups, and roles with SCIM"",""url"":""platform/hosting/iam/scim""},{""title"":""Weave via Service API"",""url"":""weave/cookbooks/weave_via_service_api""},{""title"":""Tracing Quickstart"",""url"":""weave/guides/tracking/tracing""},{""title"":""Learn Weave with W&B Inference"",""url"":""weave/quickstart-inference""},{""title"":""trace_server_interface"",""url"":""weave/reference/python-sdk/trace_server/trace_server_interface""},{""title"":""remote_http_trace_server"",""url"":""weave/reference/python-sdk/trace_server_bindings/remote_http_trace_server""},{""title"":""Call Start"",""url"":""weave/reference/service-api/calls/call-start""},{""title"":""API Overview"",""url"":""inference/api-reference""},{""title"":""DeepChem"",""url"":""models/integrations/deepchem""},{""title"":""PyTorch Lightning"",""url"":""models/integrations/lightning""},{""title"":""PaddleOCR"",""url"":""models/integrations/paddleocr""},{""title"":""spaCy"",""url"":""models/integrations/spacy""},{""title"":""YOLOX"",""url"":""models/integrations/yolox""},{""title"":""Track user activity with audit logs"",""url"":""platform/hosting/monitoring-usage/audit-logging""},{""title"":""API Overview"",""url"":""training/api-reference""},{""title"":""Service API overview"",""url"":""weave/reference/service-api""}]"
2025-11-26T00:12:43.985Z,"No, I mean providing an OpenAI API key for LLM calls, which would get logged with Weave","I understand now! You're asking about providing your **OpenAI API key** (not your W&B API key) when using the call start service API to log LLM calls to Weave.

When using the **Service API**, you don't provide your OpenAI API key through the Service API itself. Instead:

1. **Make your OpenAI call directly** using your OpenAI API key in your application code
2. **Log the results to Weave** using the Service API with your W&B API key

The Service API is only for **logging traces** to Weave, not for making the actual LLM calls. Your OpenAI API key stays in your application code where you make the OpenAI calls.

Want to know more? These pages may help:
```suggestions
(Use the Service API to Log and Query Traces)[/weave/cookbooks/weave_via_service_api]
(Call Start endpoint)[/weave/reference/service-api/calls/call-start]
```","[{""title"":""Audio With Weave"",""url"":""weave/cookbooks/audio_with_weave""},{""title"":""Weave via Service API"",""url"":""weave/cookbooks/weave_via_service_api""},{""title"":""Integrations overview"",""url"":""weave/guides/integrations""},{""title"":""LlamaIndex"",""url"":""weave/guides/integrations/llamaindex""},{""title"":""OpenRouter"",""url"":""weave/guides/integrations/openrouter""},{""title"":""Tracing Quickstart"",""url"":""weave/guides/tracking/tracing""},{""title"":""Track LLM inputs & outputs"",""url"":""weave/quickstart""},{""title"":""Learn Weave with W&B Inference"",""url"":""weave/quickstart-inference""},{""title"":""Service API overview"",""url"":""weave/reference/service-api""},{""title"":""wrapOpenAI"",""url"":""weave/reference/typescript-sdk/functions/wrapOpenAI""}]"
2025-11-26T00:12:43.985Z,"So I have to parse the call reponse from OpenAI to get populate the needed fields for Weave call end, right?","Yes, exactly! When using the **Service API**, you need to parse the OpenAI response yourself and populate the fields for the **call end** endpoint.

According to the documentation, the `call/end` endpoint expects fields like:
- `output`: The model's response (format as `{""choices"": [{""message"": {""content"": ""...""}}]}` for chat UI)
- `summary`: Usage statistics like `prompt_tokens`, `completion_tokens`, `total_tokens`, and `requests`
- `ended_at`: Timestamp when the call ended

You extract these from OpenAI's response and structure them appropriately for Weave.

Want to know more? These pages may help:
```suggestions
(Use the Service API to Log and Query Traces)[/weave/cookbooks/weave_via_service_api]
(Call End endpoint)[/weave/reference/service-api/calls/call-end]
```","[{""title"":""Chat Completions"",""url"":""inference/api-reference/chat-completions""},{""title"":""List Models"",""url"":""inference/api-reference/list-models""},{""title"":""Enable JSON mode"",""url"":""inference/response-settings/json-mode""},{""title"":""OpenAI API"",""url"":""models/integrations/openai-api""},{""title"":""Use your trained models"",""url"":""training/serverless-rl/use-trained-models""},{""title"":""Use builtin scorers"",""url"":""weave/guides/evaluation/builtin_scorers""},{""title"":""Navigate the Trace View"",""url"":""weave/guides/tracking/trace-tree""},{""title"":""Tracing Quickstart"",""url"":""weave/guides/tracking/tracing""},{""title"":""trace_server_interface"",""url"":""weave/reference/python-sdk/trace_server/trace_server_interface""},{""title"":""wrapOpenAI"",""url"":""weave/reference/typescript-sdk/functions/wrapOpenAI""},{""title"":""Api"",""url"":""models/ref/python/public-api/api""},{""title"":""run"",""url"":""models/ref/query-panel/run""},{""title"":""Log summary metrics"",""url"":""models/track/log/log-summary""},{""title"":""W&B SDK releases"",""url"":""release-notes/sdk-releases""},{""title"":""Weave via Service API"",""url"":""weave/cookbooks/weave_via_service_api""},{""title"":""Compare model performance using the Evaluation Playground"",""url"":""weave/guides/tools/evaluation_playground""},{""title"":""weave_client"",""url"":""weave/reference/python-sdk/trace/weave_client""},{""title"":""Call End"",""url"":""weave/reference/service-api/calls/call-end""},{""title"":""Class: WeaveClient"",""url"":""weave/reference/typescript-sdk/classes/WeaveClient""}]"
2025-11-25T23:46:41.453Z,run,"I'd be happy to help! Could you provide more details about what you'd like to run? Are you asking about:

- Running a W&B experiment or training script?
- Running a W&B Sweep?
- Running a specific W&B command?
- Something else?

Please let me know what you're trying to accomplish!",[]
2025-11-25T23:34:43.159Z,log plot,"Based on the search results, I can help you with logging plots in W&B. Here's what you need to know:

**To log plots with W&B**, use `wandb.log()` with various plot types:

**Line plots** (default for metrics over time):
```python
import wandb
run = wandb.init()
run.log({""accuracy"": 0.9, ""epoch"": 5})
```

**Custom plots** (line, scatter, bar):
```python
# Line plot
data = [[x, y] for (x, y) in zip(x_values, y_values)]
table = wandb.Table(data=data, columns=[""x"", ""y""])
run.log({""my_plot"": wandb.plot.line(table, ""x"", ""y"")})
```

**Matplotlib plots**:
```python
fig, ax = plt.subplots()
ax.plot(x, y)
run.log({""chart"": fig})
```

**For logarithmic scale**: In the UI, click the gear icon on a line plot panel, then toggle ""Log scale"" for X or Y axis under settings.

Want to know more? These pages may help:
```suggestions
(Create and track plots from experiments)[/models/track/log/plots]
(Line plots overview)[/models/app/features/panels/line-plot]
(Customize log axes)[/models/track/log/customize-logging-axes]
```","[{""title"":""Bar plots"",""url"":""ko/models/app/features/panels/bar-plot""},{""title"":""Line plots"",""url"":""ko/models/app/features/panels/line-plot""},{""title"":""Line plot reference"",""url"":""ko/models/app/features/panels/line-plot/reference""},{""title"":""Run"",""url"":""ko/models/ref/python/run""},{""title"":""Bar plots"",""url"":""models/app/features/panels/bar-plot""},{""title"":""Line plots overview"",""url"":""models/app/features/panels/line-plot""},{""title"":""Line plot reference"",""url"":""models/app/features/panels/line-plot/reference""},{""title"":""Support"",""url"":""models/support""},{""title"":""Create and track plots from experiments"",""url"":""models/track/log/plots""},{""title"":""Supported W&B Server releases"",""url"":""release-notes/server-releases""},{""title"":""run"",""url"":""ja/models/ref/python/run""},{""title"":""WandbMetricsLogger"",""url"":""ko/models/ref/python/integrations/keras/wandbmetricslogger""},{""title"":""log"",""url"":""ko/models/ref/python/log""},{""title"":""Custom charts overview"",""url"":""models/app/features/custom-charts""},{""title"":""Customize log axes"",""url"":""models/track/log/customize-logging-axes""}]"
2025-11-25T23:34:43.159Z,"I have a single array of size (8,) I want to log","For a single array of size (8,), you have several options:

**1. Log directly as a histogram:**
```python
import wandb
wandb.init()
wandb.log({""my_array"": wandb.Histogram(my_array)})
```

**2. Log as a bar chart:**
```python
data = [[i, val] for i, val in enumerate(my_array)]
table = wandb.Table(data=data, columns=[""index"", ""value""])
wandb.log({""my_bar"": wandb.plot.bar(table, ""index"", ""value"")})
```

**3. Log as a custom histogram plot:**
```python
data = [[val] for val in my_array]
table = wandb.Table(data=data, columns=[""values""])
wandb.log({""my_hist"": wandb.plot.histogram(table, ""values"")})
```

The `wandb.Histogram` option is simplest for visualizing the distribution of your 8 values.

Want to know more? These pages may help:
```suggestions
(Histogram reference)[/models/ref/python/data-types/histogram]
(Create and track plots from experiments)[/models/track/log/plots]
(Log media and objects)[/models/track/log/media]
```","[{""title"":""イメージ"",""url"":""ja/models/ref/python/data-types/image""},{""title"":""メディアとオブジェクトをログする"",""url"":""ja/models/track/log/media""},{""title"":""Image"",""url"":""ko/models/ref/python/data-types/image""},{""title"":""Video"",""url"":""ko/models/ref/python/data-types/video""},{""title"":""Log media and objects"",""url"":""ko/models/track/log/media""},{""title"":""Tutorial: Use custom charts"",""url"":""models/app/features/custom-charts/walkthrough""},{""title"":""PyTorch Lightning"",""url"":""models/integrations/lightning""},{""title"":""Log summary metrics"",""url"":""models/track/log/log-summary""},{""title"":""Log media and objects"",""url"":""models/track/log/media""},{""title"":""W&B SDK releases"",""url"":""release-notes/sdk-releases""},{""title"":""カスタムチャート"",""url"":""ja/models/app/features/custom-charts""},{""title"":""実験からプロットを作成して追跡する"",""url"":""ja/models/track/log/plots""},{""title"":""Histogram"",""url"":""ko/models/ref/python/data-types/histogram""},{""title"":""Create and track plots from experiments"",""url"":""ko/models/track/log/plots""},{""title"":""Custom charts overview"",""url"":""models/app/features/custom-charts""},{""title"":""Bar plots"",""url"":""models/app/features/panels/bar-plot""},{""title"":""histogram"",""url"":""models/ref/python/custom-charts/histogram""},{""title"":""Overview"",""url"":""models/track/log""},{""title"":""Create and track plots from experiments"",""url"":""models/track/log/plots""}]"
2025-11-25T22:19:49.999Z,image,"I'd be happy to help you with questions about Weights & Biases! However, I'm not able to see or process images. Could you please describe what you're looking at or type out your question? That way I can search the documentation and provide you with the information you need.",[]
2025-11-25T22:04:03.813Z,does wandb have integrations with fireworks,"I couldn't find any specific information about a Fireworks integration in the W&B documentation. The search results show integrations with many LLM providers like OpenAI, Anthropic, Google, Mistral, Together AI, and others, but Fireworks is not listed.

If you're looking to use Fireworks with W&B, you might be able to use Weave's OpenAI-compatible integration if Fireworks supports the OpenAI API format. Otherwise, you could track Fireworks calls using the `@weave.op()` decorator to manually instrument your code.

For the most up-to-date information about integrations, I recommend checking the [Integrations overview page](/models/integrations) or contacting W&B support.","[{""title"":""Integrations"",""url"":""ko/models/ref/python/integrations""},{""title"":""Integrations overview"",""url"":""models/integrations""},{""title"":""Add wandb to any library"",""url"":""models/integrations/add-wandb-to-any-library""},{""title"":""Hugging Face Diffusers"",""url"":""models/integrations/diffusers""},{""title"":""PyTorch Ignite"",""url"":""models/integrations/ignite""},{""title"":""PyTorch Lightning"",""url"":""models/integrations/lightning""},{""title"":""Launch integration guides"",""url"":""platform/launch/integration-guides""},{""title"":""W&B SDK releases"",""url"":""release-notes/sdk-releases""},{""title"":""Integrations overview"",""url"":""weave/guides/integrations""},{""title"":""Model Context Protocol (MCP) and Weave"",""url"":""weave/guides/integrations/mcp""},{""title"":""JavaScript Library"",""url"":""ko/models/ref/js""},{""title"":""Supported W&B Server releases"",""url"":""release-notes/server-releases""},{""title"":""Bedrock"",""url"":""weave/guides/integrations/bedrock""},{""title"":""MistralAI"",""url"":""weave/guides/integrations/mistral""},{""title"":""OpenRouter"",""url"":""weave/guides/integrations/openrouter""},{""title"":""Together AI"",""url"":""weave/guides/integrations/together_ai""},{""title"":""Use Playground to experiment with prompts"",""url"":""weave/guides/tools/playground""},{""title"":""Learn Weave with W&B Inference"",""url"":""weave/quickstart-inference""}]"
2025-11-25T20:58:51.359Z,evaluate dataset with prompt template,"To evaluate a dataset with a prompt template in Weave, create a `Model` class with your `prompt_template` as a parameter. Here's how:

```python
class ExtractFruitsModel(weave.Model):
    model_name: str
    prompt_template: str

    @weave.op()
    def predict(self, sentence: str) -> dict:
        # Use prompt_template.format() with your inputs
        prompt = self.prompt_template.format(sentence=sentence)
        # Make your LLM call with the formatted prompt
        return result

model = ExtractFruitsModel(
    model_name=""gpt-4o"",
    prompt_template='Extract fields from: {sentence}'
)

evaluation = weave.Evaluation(dataset=examples, scorers=[your_scorer])
await evaluation.evaluate(model)
```

The `prompt_template` parameter lets you experiment with different prompts while tracking them in Weave.

Want to know more? These pages may help:
```suggestions
(Introduction to Evaluations)[/weave/cookbooks/Intro_to_Weave_Hello_Eval]
(Evaluations overview)[/weave/guides/core-types/evaluations]
(Models)[/weave/guides/core-types/models]
```","[{""title"":""Introduction to Evaluations"",""url"":""weave/cookbooks/Intro_to_Weave_Hello_Eval""},{""title"":""Chain Of Density"",""url"":""weave/cookbooks/chain_of_density""},{""title"":""Codegen"",""url"":""weave/cookbooks/codegen""},{""title"":""HuggingFace Dataset Evaluations"",""url"":""weave/cookbooks/hf_dataset_evals""},{""title"":""Collect and track datasets"",""url"":""weave/guides/core-types/datasets""},{""title"":""Evaluations overview"",""url"":""weave/guides/core-types/evaluations""},{""title"":""Log evaluation data from your code"",""url"":""weave/guides/evaluation/evaluation_logger""},{""title"":""LlamaIndex"",""url"":""weave/guides/integrations/llamaindex""},{""title"":""Compare model performance using the Evaluation Playground"",""url"":""weave/guides/tools/evaluation_playground""},{""title"":""Class: Evaluation<R, E, M>"",""url"":""weave/reference/typescript-sdk/classes/Evaluation""}]"
2025-11-25T20:58:51.359Z,"how would I Add a configuration identifier (e.g., config_id or model_variant) to each evaluation record,","To add a configuration identifier (like `config_id` or `model_variant`) to each evaluation record, use **attributes**. You can add them per-evaluation or globally:

**Per-evaluation approach:**
```python
with weave.attributes({'config_id': 'v1', 'model_variant': 'gpt-4'}):
    await evaluation.evaluate(model)
```

**Global approach** (applies to all evaluations):
```python
weave.init(
    ""my-project"",
    global_attributes={
        'config_id': 'baseline',
        'model_variant': 'production'
    }
)
```

Attributes appear in the Weave UI where you can filter and group evaluation results by them. Per-call attributes override global ones for the same keys.

Want to know more? These pages may help:
```suggestions
(Define and log attributes)[/weave/guides/tools/attributes]
(Evaluations overview)[/weave/guides/core-types/evaluations]
(Configure experiments)[/models/track/config]
```","[{""title"":""Evaluate models with W&B Weave and W&B Tables"",""url"":""models/evaluate-models""},{""title"":""OpenAI Fine-Tuning"",""url"":""models/integrations/openai-fine-tuning""},{""title"":""Semantic run plot legends"",""url"":""models/runs/color-code-runs""},{""title"":""Add W&B (wandb) to your code"",""url"":""models/sweeps/add-w-and-b-to-your-code""},{""title"":""Visualize and analyze tables"",""url"":""models/tables/visualize-tables""},{""title"":""Configure experiments"",""url"":""models/track/config""},{""title"":""Available models"",""url"":""training/serverless-rl/available-models""},{""title"":""Use Weave with W&B Models"",""url"":""weave/cookbooks/Models_and_Weave_Integration_Demo""},{""title"":""Evaluations overview"",""url"":""weave/guides/core-types/evaluations""},{""title"":""Tutorial: Build an Evaluation pipeline"",""url"":""weave/tutorial-eval""},{""title"":""Add labels to runs with tags"",""url"":""ko/models/runs/tags""},{""title"":""Run"",""url"":""models/ref/python/public-api/run""},{""title"":""Add labels to runs with tags"",""url"":""models/runs/tags""},{""title"":""Support"",""url"":""models/support""},{""title"":""Trace and Evaluate a Computer Vision Pipeline with Weave"",""url"":""weave/cookbooks/ocr-pipeline""},{""title"":""Log media"",""url"":""weave/guides/core-types/media""},{""title"":""LangChain"",""url"":""weave/guides/integrations/langchain""},{""title"":""Verdict"",""url"":""weave/guides/integrations/verdict""},{""title"":""Define and log attributes"",""url"":""weave/guides/tools/attributes""},{""title"":""weave"",""url"":""weave/reference/python-sdk""}]"
